id,korean,english,japanese,dutch,pos,topic,notes
ko-0243,양말,socks,靴下,sokken,noun,clothing,
ko-0244,손수건,handkerchief,ハンカチ,zakdoek,noun,home,
ko-0245,비누,soap,石鹸,zeep,noun,home,
ko-0246,수건,towel,タオル,handdoek,noun,home,
ko-0247,칫솔,toothbrush,歯ブラシ,tandenborstel,noun,home,
ko-0248,치약,toothpaste,歯磨き粉,tandpasta,noun,home,
ko-0249,전등,lamp; light,電灯,lamp; licht,noun,home,
ko-0250,에어컨,air conditioner,エアコン,airconditioner,noun,home,
ko-0251,세탁기,washing machine,洗濯機,wasmachine,noun,home,
ko-0252,청소기,vacuum cleaner,掃除機,stofzuiger,noun,home,
ko-0253,가위,scissors,はさみ,schaar,noun,home,
ko-0254,칼,knife,包丁;ナイフ,mes,noun,home,
ko-0255,상자,box,箱,doos,noun,home,
ko-0256,봉투,envelope; bag,封筒;袋,envelop; zak,noun,home,
ko-0257,병,bottle,瓶,fles,noun,home,homonym of illness
ko-0258,쓰레기,trash,ごみ,afval,noun,home,
ko-0259,불,fire; light,火;明かり,vuur; licht,noun,home,
ko-0260,물건,thing; object,物,ding; voorwerp,noun,home,
ko-0261,학교,school,学校,school,noun,place,
ko-0262,회사,company,会社,bedrijf,noun,place,
ko-0263,사무실,office,事務所,kantoor,noun,place,
ko-0264,병원,hospital,病院,ziekenhuis,noun,place,
ko-0265,약국,pharmacy,薬局,apotheek,noun,place,
ko-0266,은행,bank,銀行,bank,noun,place,
ko-0267,우체국,post office,郵便局,postkantoor,noun,place,
ko-0268,가게,store,店,winkel,noun,place,
ko-0269,시장,market,市場,markt,noun,place,
ko-0270,슈퍼마켓,supermarket,スーパー,supermarkt,noun,place,
ko-0271,편의점,convenience store,コンビニ,gemakswinkel,noun,place,
ko-0272,도서관,library,図書館,bibliotheek,noun,place,
ko-0273,박물관,museum,博物館,museum,noun,place,
ko-0274,공원,park,公園,park,noun,place,
ko-0275,영화관,movie theater,映画館,bioscoop,noun,place,
ko-0276,역,station,駅,station,noun,transport,
ko-0277,공항,airport,空港,luchthaven; vliegveld,noun,transport,
ko-0278,버스,bus,バス,bus,noun,transport,
ko-0279,지하철,subway,地下鉄,metro,noun,transport,
ko-0280,기차,train,電車;列車,trein,noun,transport,
ko-0281,택시,taxi,タクシー,taxi,noun,transport,
ko-0282,자동차,car,車,auto,noun,transport,
ko-0283,자전거,bicycle,自転車,fiets,noun,transport,
ko-0284,길,road; way,道,weg,noun,place,
ko-0285,거리,street; distance,通り;距離,straat; afstand,noun,place,
ko-0286,교차로,intersection,交差点,kruispunt,noun,place,
ko-0287,도시,city,都市,stad,noun,place,
ko-0288,마을,village; town,町;村,dorp; stadje,noun,place,
ko-0289,바다,sea,海,zee,noun,nature,
ko-0290,산,mountain,山,berg,noun,nature,
ko-0291,강,river,川,rivier,noun,nature,
ko-0292,섬,island,島,eiland,noun,nature,
ko-0293,앞,front,前,voorkant; voor,noun,direction,
ko-0294,뒤,back; behind,後ろ,achterkant; achter,noun,direction,
ko-0295,옆,side; next to,横,zijkant; naast,noun,direction,
ko-0296,안,inside,中,binnenkant,noun,direction,
ko-0297,밖,outside,外,buitenkant,noun,direction,
ko-0298,위,above; top,上,boven; top,noun,direction,
ko-0299,아래,below; under,下,onder; beneden,noun,direction,
ko-0300,왼쪽,left,左,links,noun,direction,
ko-0301,오른쪽,right,右,rechts,noun,direction,
ko-0302,북쪽,north,北,noorden,noun,direction,
ko-0303,남쪽,south,南,zuiden,noun,direction,
ko-0304,동쪽,east,東,oosten,noun,direction,
ko-0305,서쪽,west,西,westen,noun,direction,
ko-0306,가다,to go,行く,gaan,verb,movement,
ko-0307,오다,to come,来る,komen,verb,movement,
ko-0308,타다,to ride,乗る,rijden,verb,transport,
ko-0309,내리다,to get off,降りる,uitstappen,verb,transport,
ko-0310,걷다,to walk,歩く,wandelen; lopen,verb,movement,
ko-0311,뛰다,to run,走る,rennen,verb,movement,
ko-0312,운전하다,to drive,運転する,rijden; besturen,verb,transport,
ko-0313,찾다,to find; search,探す,vinden; zoeken,verb,basic,
ko-0314,만나다,to meet,会う,ontmoeten,verb,people,
ko-0315,기다리다,to wait,待つ,wachten,verb,basic,
ko-0316,도착하다,to arrive,到着する,aankomen,verb,transport,
ko-0317,출발하다,to depart,出発する,vertrekken,verb,transport,
ko-0318,들어가다,to enter,入る,binnengaan; binnenkomen,verb,movement,
ko-0319,나오다,to come out,出る,naar buiten komen,verb,movement,
ko-0320,지나가다,to pass by,通り過ぎる,voorbijgaan,verb,movement,
ko-0321,하늘,sky,空,lucht; hemel,noun,nature,
ko-0322,해,sun,太陽,zon,noun,nature,
ko-0323,별,star,星,ster,noun,nature,
ko-0324,구름,cloud,雲,wolk,noun,nature,
ko-0325,비,rain,雨,regen,noun,nature,
ko-0326,눈,snow; eye,雪;目,sneeuw; oog,noun,nature,
ko-0327,바람,wind,風,wind,noun,nature,
ko-0328,날씨,weather,天気,weer,noun,weather,
ko-0329,기온,temperature,気温,temperatuur,noun,weather,
ko-0330,춥다,cold weather,寒い,koud weer,adjective,weather,
ko-0331,덥다,hot weather,暑い,warm weer,adjective,weather,
ko-0332,따뜻하다,warm,暖かい,warm,adjective,weather,
ko-0333,시원하다,cool; refreshing,涼しい,koel; verfrissend,adjective,weather,
ko-0334,흐리다,cloudy,曇っている,bewolkt,adjective,weather,
ko-0335,맑다,clear; sunny,晴れている,helder; zonnig,adjective,weather,
ko-0336,젖다,to get wet,濡れる,nat worden,verb,weather,
ko-0337,마르다,to dry,乾く,drogen,verb,weather,
ko-0338,피다,to bloom,咲く,bloeien,verb,nature,
ko-0339,꽃,flower,花,bloem,noun,nature,
ko-0340,나무,tree,木,boom,noun,nature,
ko-0341,잎,leaf,葉,blad,noun,nature,
ko-0342,풀,grass,草,gras,noun,nature,
ko-0343,돌,stone,石,steen,noun,nature,
ko-0344,흙,soil,土,aarde; grond,noun,nature,
ko-0345,숲,forest,森,bos,noun,nature,
ko-0346,동물,animal,動物,dier,noun,animal,
ko-0347,개,dog,犬,hond,noun,animal,homonym of item counter
ko-0348,고양이,cat,猫,kat,noun,animal,
ko-0349,새,bird,鳥,vogel,noun,animal,
ko-0350,물고기,fish,魚,vis,noun,animal,
ko-0351,말,horse; words,馬;言葉,paard; woorden,noun,animal,
ko-0352,소,cow,牛,koe,noun,animal,
ko-0353,돼지,pig,豚,varken,noun,animal,
ko-0354,닭,chicken,鶏,kip,noun,animal,
ko-0355,벌레,insect,虫,insect,noun,animal,
ko-0356,파도,wave,波,golf,noun,nature,
ko-0357,모래,sand,砂,zand,noun,nature,
ko-0358,호수,lake,湖,meer,noun,nature,
ko-0359,비가 오다,to rain,雨が降る,het regent,phrase,weather,
ko-0360,눈이 오다,to snow,雪が降る,het sneeuwt,phrase,weather,
ko-0361,지구,earth,地球,aarde,noun,nature,
ko-0362,세계,world,世界,wereld,noun,nature,
ko-0363,환경,environment,環境,milieu; omgeving,noun,nature,
ko-0364,소리,sound,音,geluid,noun,nature,
ko-0365,냄새,smell,におい,geur,noun,nature,
ko-0366,몸,body,体,lichaam,noun,body,
ko-0367,머리,head; hair,頭;髪,hoofd; haar,noun,body,
ko-0368,얼굴,face,顔,gezicht,noun,body,
ko-0369,귀,ear,耳,oor,noun,body,
ko-0370,코,nose,鼻,neus,noun,body,
ko-0371,입,mouth,口,mond,noun,body,
ko-0372,목,neck; throat,首;喉,nek; keel,noun,body,
ko-0373,어깨,shoulder,肩,schouder,noun,body,
ko-0374,팔,arm,腕,arm,noun,body,
ko-0375,손,hand,手,hand,noun,body,
ko-0376,손가락,finger,指,vinger,noun,body,
ko-0377,다리,leg; bridge,足;橋,been; brug,noun,body,
ko-0378,발,foot,足,voet,noun,body,
ko-0379,발가락,toe,つま先;足の指,teen,noun,body,
ko-0380,배,stomach; belly; boat,お腹;船,maag; buik; boot,noun,body,
ko-0381,등,back; lamp,背中;灯,rug; lamp,noun,body,
ko-0382,심장,heart organ,心臓,hart,noun,body,
ko-0383,피,blood,血,bloed,noun,body,
ko-0384,피부,skin,皮膚,huid,noun,body,
ko-0385,건강,health,健康,gezondheid,noun,health,
ko-0386,병,illness,病気,ziekte,noun,health,homonym of bottle
ko-0387,감기,cold illness,風邪,verkoudheid,noun,health,
ko-0388,열,fever; heat,熱,koorts; hitte,noun,health,homonym of ten
ko-0389,아프다,to hurt; to be sick,痛い;具合が悪い,pijn doen; ziek zijn,adjective,health,
ko-0390,쉬다,to rest,休む,rusten,verb,health,
ko-0391,자다,to sleep,寝る,slapen,verb,health,
ko-0392,일어나다,to wake up; to happen,起きる,wakker worden; gebeuren,verb,health,
ko-0393,씻다,to wash,洗う,wassen,verb,health,
ko-0394,웃다,to laugh; smile,笑う,lachen; glimlachen,verb,emotion,
ko-0395,울다,to cry,泣く,huilen,verb,emotion,
ko-0396,기쁘다,happy,嬉しい,blij; gelukkig,adjective,emotion,
ko-0397,슬프다,sad,悲しい,verdrietig,adjective,emotion,
ko-0398,화나다,angry,怒っている,boos,adjective,emotion,
ko-0399,무섭다,scary; afraid,怖い,eng; bang,adjective,emotion,
ko-0400,피곤하다,tired,疲れている,moe,adjective,health,
ko-0401,걱정하다,to worry,心配する,zich zorgen maken,verb,emotion,
ko-0402,좋아하다,to like,好きだ,leuk vinden,verb,emotion,
ko-0403,싫어하다,to dislike,嫌う,niet leuk vinden,verb,emotion,
ko-0404,사랑하다,to love,愛する,houden van,verb,emotion,
ko-0405,생각하다,to think,考える,denken,verb,thinking,
ko-0406,알다,to know,知る,weten,verb,thinking,
ko-0407,모르다,to not know,知らない,niet weten,verb,thinking,
ko-0408,기억하다,to remember,覚えている,onthouden; zich herinneren,verb,thinking,
ko-0409,잊다,to forget,忘れる,vergeten,verb,thinking,
ko-0410,배우다,to learn,学ぶ,leren,verb,education,
ko-0411,가르치다,to teach,教える,onderwijzen; lesgeven,verb,education,
ko-0412,읽다,to read,読む,lezen,verb,education,
ko-0413,쓰다,to write; to use,書く;使う,schrijven; gebruiken,verb,education,homonym of bitter adjective
ko-0414,듣다,to listen; hear,聞く,luisteren; horen,verb,education,
ko-0415,말하다,to speak,話す,spreken,verb,communication,
ko-0416,보다,to see; watch,見る,zien; kijken,verb,basic,
ko-0417,느끼다,to feel,感じる,voelen,verb,basic,
ko-0418,열다,to open,開ける,openen,verb,basic,
ko-0419,닫다,to close,閉める,sluiten,verb,basic,
ko-0420,잡다,to hold; catch,つかむ;捕まえる,vasthouden; vangen,verb,basic,
ko-0421,하다,to do,する,doen,verb,basic,
ko-0422,되다,to become,なる,worden,verb,basic,
ko-0423,있다,to exist; have,ある;いる,bestaan; hebben,verb,basic,
ko-0424,없다,to not exist; not have,ない;いない,niet bestaan; niet hebben,adjective,basic,
ko-0425,주다,to give,あげる;くれる,geven,verb,basic,
ko-0426,받다,to receive,受け取る,ontvangen; krijgen,verb,basic,
ko-0427,만들다,to make,作る,maken,verb,basic,
ko-0428,사용하다,to use,使用する,gebruiken,verb,basic,
ko-0429,시작하다,to start,始める,beginnen,verb,basic,
ko-0430,끝나다,to end,終わる,eindigen,verb,basic,
ko-0431,끝내다,to finish,終える,afmaken,verb,basic,
ko-0432,일하다,to work,働く,werken,verb,work,
ko-0433,공부하다,to study,勉強する,studeren,verb,education,
ko-0434,놀다,to play,遊ぶ,spelen,verb,leisure,
ko-0435,운동하다,to exercise,運動する,sporten,verb,health,
ko-0436,여행하다,to travel,旅行する,reizen,verb,travel,
ko-0437,전화하다,to call by phone,電話する,telefoneren; bellen,verb,communication,
ko-0438,보내다,to send,送る,sturen; verzenden,verb,communication,
ko-0439,빌리다,to borrow,借りる,lenen,verb,basic,
ko-0440,빌려주다,to lend,貸す,uitlenen,verb,basic,
ko-0441,물어보다,to ask,尋ねる,vragen,verb,communication,
ko-0442,대답하다,to answer,答える,antwoorden,verb,communication,
ko-0443,도와주다,to help,手伝う,helpen,verb,basic,
ko-0444,필요하다,to need; necessary,必要だ,nodig hebben; noodzakelijk,adjective,basic,
ko-0445,원하다,to want,望む,willen,verb,basic,
ko-0446,살다,to live,住む;生きる,wonen; leven,verb,basic,
ko-0447,죽다,to die,死ぬ,sterven,verb,basic,
ko-0448,입다,to wear clothes,着る,kleren aantrekken,verb,clothing,
ko-0449,벗다,to take off clothes,脱ぐ,kleren uittrekken,verb,clothing,
ko-0450,신다,to wear shoes,履く,schoenen aantrekken,verb,clothing,
ko-0451,앉다,to sit,座る,zitten,verb,basic,
ko-0452,서다,to stand,立つ,staan,verb,basic,
ko-0453,놓다,to put,置く,leggen; zetten,verb,basic,
ko-0454,넣다,to put in,入れる,erin doen,verb,basic,
ko-0455,빼다,to take out,出す,eruit halen,verb,basic,
ko-0456,바꾸다,to change,変える,veranderen,verb,basic,
ko-0457,고르다,to choose,選ぶ,kiezen,verb,basic,
ko-0458,잃어버리다,to lose,なくす,verliezen,verb,basic,
ko-0459,줍다,to pick up,拾う,oppakken,verb,basic,
ko-0460,청소하다,to clean,掃除する,schoonmaken,verb,home,
ko-0461,준비하다,to prepare,準備する,voorbereiden,verb,basic,
ko-0462,예약하다,to reserve,予約する,reserveren,verb,travel,
ko-0463,취소하다,to cancel,キャンセルする,annuleren,verb,basic,
ko-0464,확인하다,to confirm,確認する,bevestigen,verb,basic,
ko-0465,설명하다,to explain,説明する,uitleggen,verb,communication,
ko-0466,이해하다,to understand,理解する,begrijpen,verb,thinking,
ko-0467,연습하다,to practice,練習する,oefenen,verb,education,
ko-0468,질문하다,to ask a question,質問する,een vraag stellen,verb,communication,
ko-0469,성공하다,to succeed,成功する,slagen,verb,basic,
ko-0470,실패하다,to fail,失敗する,falen; mislukken,verb,basic,
ko-0471,좋다,good,良い,goed,adjective,quality,
ko-0472,나쁘다,bad,悪い,slecht,adjective,quality,
ko-0473,새롭다,new,新しい,nieuw,adjective,quality,
ko-0474,오래되다,old; aged,古い,oud; bejaard,adjective,quality,
